i,j,b,d,g,f,m,s,EDGE,w,r,intended
1,9,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,10,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,11,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,12,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,13,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,14,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,15,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,16,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,17,1.5141830191400988e-06,2.3518115302013088e-09,2.5919719439281034e-07,0.028056674921747352,0.00014968317671502657,2.1113871930753794e-10,0.0,0.0,0.0,f
1,18,1.766002810545315e-08,2.2612844697900411e-08,1.4840533476585054e-05,0.00013357430507103028,0.021802162148842768,1.6691526857752463e-08,5.1691752725565581e-08,0.0,5.550467405335494e-10,g
1,19,1.2785655595189297e-09,2.6007197673475809e-07,4.8741522746213862e-05,8.2414896286031441e-06,0.366386895322586,1.1292380483984387e-08,1.2610831324806093e-07,1.6308234177537367e-10,2.1278776866162789e-09,g
1,20,4.9980914693474575e-10,4.6640359933466147e-07,0.00037254716851641402,3.5167713999235989e-06,0.051443844623260654,3.4333828338415388e-09,8.3394941198729928e-08,0.0,1.5116676648108023e-09,g
1,21,4.9980914693474575e-10,4.6640359933466147e-07,0.00037254716851641402,3.5167713999235989e-06,0.051443844623260654,3.4333828338415388e-09,8.3394941198729928e-08,0.0,1.5116676648108023e-09,g
1,22,4.9980914693474575e-10,4.6640359933466147e-07,0.00037254716851641402,3.5167713999235989e-06,0.051443844623260654,3.4333828338415388e-09,8.3394941198729928e-08,0.0,1.5116676648108023e-09,g
1,23,1.6758763181905972e-08,7.0788035576036078e-08,2.7251935688941595e-05,0.00014647636862902752,0.023908052810946892,4.2844560918295089e-09,5.8479558639023681e-08,0.0,0.0,g
1,24,1.4369079414996309e-06,7.362192616282359e-09,4.7596842010374733e-07,0.030766694658507041,0.00016414121082954618,5.4196034902469631e-11,0.0,0.0,0.0,f
1,25,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,26,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,27,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,28,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,29,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,30,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,31,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,32,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,33,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
1,34,1.9847112604362793e-05,6.4013093743587616e-10,1.4492007787950469e-07,0.49865255476141435,9.7673616046292742e-06,8.0108403488639677e-11,0.0,0.0,0.0,f
